2020/6/7(Sun) 21:30:46.624,bbb,login,,
2020/6/7(Sun) 21:30:55.824,bbb,check self id,,
2020/6/7(Sun) 21:30:59.958,bbb,check self id,,
2020/6/7(Sun) 21:31:2.523,bbb,tweet in window,-M641IW6lEIEgNEgRHUt,
2020/6/7(Sun) 21:31:2.524,bbb,tweet in window,-M67gXN2Is6HlmVC1S13,
2020/6/7(Sun) 21:31:2.525,bbb,tweet in window,-M67gaYP9rmRiJfRbY1x,
2020/6/7(Sun) 21:31:11.398,bbb,posted,-M9DkqjZpvFOTvHynyBA,
2020/6/7(Sun) 21:31:14.893,bbb,tap a tweet,-M9DkqjZpvFOTvHynyBA,
2020/6/7(Sun) 21:31:17.245,bbb,tweet in window,-M640sH6RpBziEJrCcyo,
2020/6/7(Sun) 21:31:17.248,bbb,tweet in window,-M67gXN2Is6HlmVC1S13,
2020/6/7(Sun) 21:31:17.247,bbb,tweet in window,-M641IW6lEIEgNEgRHUt,
2020/6/7(Sun) 21:31:24.225,bbb,tweet in window,-M641IW6lEIEgNEgRHUt,
2020/6/7(Sun) 21:31:24.227,bbb,tweet in window,-M67gXN2Is6HlmVC1S13,
2020/6/7(Sun) 21:31:24.229,bbb,tweet in window,-M67gaYP9rmRiJfRbY1x,
2020/6/7(Sun) 21:31:24.229,bbb,tweet in window,-M9DkqjZpvFOTvHynyBA,
2020/6/7(Sun) 21:31:27.33,bbb,tap a icon(move to profile),bbb,
2020/6/7(Sun) 21:32:47.751,bbb,back from profile,,
2020/6/7(Sun) 21:33:24.930,bbb,tweet in window,-M641IW6lEIEgNEgRHUt,
2020/6/7(Sun) 21:33:24.933,bbb,tweet in window,-M67gXN2Is6HlmVC1S13,
2020/6/7(Sun) 21:33:24.935,bbb,tweet in window,-M67gaYP9rmRiJfRbY1x,
2020/6/7(Sun) 21:33:24.936,bbb,tweet in window,-M9DkqjZpvFOTvHynyBA,
2020/6/7(Sun) 21:33:30.947,bbb,posted,-M9DlNnxLU3zVPp7BX_a,
2020/6/7(Sun) 21:33:36.707,bbb,tweet in window,-M641IW6lEIEgNEgRHUt,
2020/6/7(Sun) 21:33:36.709,bbb,tweet in window,-M67gXN2Is6HlmVC1S13,
2020/6/7(Sun) 21:33:36.711,bbb,tweet in window,-M9DkqjZpvFOTvHynyBA,
2020/6/7(Sun) 21:33:36.710,bbb,tweet in window,-M67gaYP9rmRiJfRbY1x,
2020/6/7(Sun) 21:33:36.713,bbb,tweet in window,-M9DlNnxLU3zVPp7BX_a,
2020/6/7(Sun) 21:33:37.577,bbb,tweet in window,-M641IW6lEIEgNEgRHUt,
2020/6/7(Sun) 21:33:37.579,bbb,tweet in window,-M67gXN2Is6HlmVC1S13,
2020/6/7(Sun) 21:33:37.580,bbb,tweet in window,-M67gaYP9rmRiJfRbY1x,
2020/6/7(Sun) 21:33:37.584,bbb,tweet in window,-M9DlNnxLU3zVPp7BX_a,
2020/6/7(Sun) 21:33:37.582,bbb,tweet in window,-M9DkqjZpvFOTvHynyBA,
2020/6/7(Sun) 21:34:14.452,bbb,tap a tweet,-M67gXN2Is6HlmVC1S13,
2020/6/7(Sun) 21:35:11.872,bbb,tap a menu icon,,
2020/6/7(Sun) 21:35:14.18,bbb,open a logout form,,
2020/6/7(Sun) 21:35:15.405,bbb,logout,,
2020/6/7(Sun) 21:36:0.989,bbb,login,,
2020/6/7(Sun) 21:41:41.297,bbb,login,,
